"lang","file","core_extended","speaker",wd_ID,wd,"start","end","ref","tx","ft","mb_ID","mb","doreco-mb-algn","ps","gl","ph_ID","ph"
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000038,"<<id>ton>",16.340,16.620,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000042","ton,","****","","DEM","p000127","<<id>ton>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000039,"<<id>ton>",16.620,16.830,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000043","ton,","****","","DEM","p000128","<<id>ton>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000040,"<<id>ton>",16.830,17.020,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000044","ton,","****","","DEM","p000129","<<id>ton>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000041,"<<id>ton>",17.020,17.190,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000045","ton,","****","","DEM","p000130","<<id>ton>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000042,"<<id>ton>",17.190,17.490,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000046","ton","****","","DEM","p000131","<<id>ton>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000043,"<p:>",17.490,18.070,"<p:>","<p:>","<p:>","m000047","<p:>","<p:>","","<p:>","p000132","<p:>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000044,"<<pr>sampɛy>",18.070,19.189,"0007_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","sampɛy ba=spadan","to the border","m000048","sampɛy","****","","until","p000133","<<pr>sampɛy>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000045,"baspadan",19.189,20.200,"0007_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","sampɛy ba=spadan","to the border","m000049 m000050","ba spadan","**** ****","","GOAL border","p000134 p000135 p000136 p000137 p000138 p000139 p000140 p000141","b a s p a d a n","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000046,"<p:>",20.200,20.930,"<p:>","<p:>","<p:>","m000051","<p:>","<p:>","","<p:>","p000142","<p:>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000047,"lpas",20.930,21.220,"0008_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h k=ton","then we stopped and parked our car there","m000052","lpas","****","","after","p000143 p000144 p000145 p000146","l p a s","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000048,"ton",21.220,21.460,"0008_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h k=ton","then we stopped and parked our car there","m000053","ton","****","","DEM","p000147 p000148 p000149","t o n","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000049,"pɛ̃h",21.460,21.675,"0008_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h k=ton","then we stopped and parked our car there","m000054","pɛ̃h","****","","1P.EXCL","p000150 p000151 p000152","p E~ h","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000050,"bərəntiʔ",21.675,22.121,"0008_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h k=ton","then we stopped and parked our car there","m000055","brntiʔ","****","","X","p000153 p000154 p000155 p000156 p000157 p000158 p000159 p000160","b @ r @ n t i ?","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000051,"pɛ̃h",22.121,22.390,"0008_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h k=ton","then we stopped and parked our car there","m000056","pɛ̃h","****","","1P.EXCL","p000161 p000162 p000163","p E~ h","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000052,"boh",22.390,22.610,"0008_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h k=ton","then we stopped and parked our car there","m000057","boh","****","","to.put","p000164 p000165 p000166","b o h","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000053,"kəritəh",22.610,23.035,"0008_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","lpas ton pɛ̃h brntiʔ pɛ̃h boh kritəh yapɛ̃h k=ton","then we stopped and parked our car there","m000058","kritəh","****","","car","p000167 p000168 p000169 p000170 p000171 p000172 p000173","k @ r i t @ h","",""
